Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Num Epochs
2025-07-14/23:39:50;zero;gemma3_1b;9.113725000002889;100.0;
2025-07-14/23:40:19;few;gemma3_1b;7.785659400000441;100.0;
2025-07-14/23:40:48;def;gemma3_1b;7.664985100000194;80.0;
2025-07-14/23:41:18;def-few;gemma3_1b;8.602454100000614;100.0;
2025-07-14/23:42:52;zero;gemma3n_e2b_it;44.94899159999841;100.0;
2025-07-14/23:46:08;few;gemma3n_e2b_it;147.49047310000242;100.0;
2025-07-14/23:49:23;def;gemma3n_e2b_it;148.0053126999992;93.33;
2025-07-14/23:52:32;def-few;gemma3n_e2b_it;139.2388213000013;93.33;
2025-07-15/10:54:17;zero;gemma3_1b_trained;12.037836599999991;100.0;
2025-07-15/16:34:02;zero;gemma3n_e2b_it_trained;94.54366039999876;100.0;
2025-07-15/16:35:45;zero;gemma3n_e2b_it;47.779862700001104;100.0;
2025-07-15/16:47:53;zero;gemma3n_e2b_it;42.98419020000074;100.0;
2025-07-15/16:50:45;zero;gemma3n_e2b_it_trained;63.94948050000312;100.0;
2025-07-15/17:08:03;zero;gemma3_1b_trained;12.719984999999724;100.0;
2025-07-15/17:16:29;zero;gemma2;9.491655800000444;100.0;
2025-07-15/17:19:33;zero;gemma2_trained;9.674802599998657;100.0;
2025-07-15/17:20:22;few;gemma2;9.925842399999963;100.0;
2025-07-15/17:20:54;def;gemma2;10.478708499998902;100.0;
2025-07-15/17:21:27;def-few;gemma2;11.024166100000002;100.0;
2025-07-15/17:22:00;zero;gemma3_1b;9.309526699998967;93.33;
2025-07-15/17:24:59;zero;gemma3_1b_trained;11.57622640000045;100.0;
2025-07-15/17:25:27;few;gemma3_1b;7.946204100000614;100.0;
2025-07-15/17:25:55;def;gemma3_1b;8.08678929999951;93.33;
2025-07-15/17:26:23;def-few;gemma3_1b;8.847283299997798;100.0;
2025-07-15/17:31:00;zero;gemma3n_e2b_it;235.8564664000005;100.0;
2025-07-15/17:39:46;zero;gemma3n_e2b_it_trained;269.7382387000034;100.0;
2025-07-15/17:43:10;few;gemma3n_e2b_it;153.84892649999892;100.0;
2025-07-15/17:46:31;def;gemma3n_e2b_it;156.1348616000032;93.33;
2025-07-15/17:50:26;def-few;gemma3n_e2b_it;191.01075140000103;93.33;
2025-07-16/10:56:23;zero;gemma3_1b_trained;13.61575559999983;100.0;
2025-07-16/11:00:13;zero;gemma3_1b_trained;11.307723699999997;100.0;
2025-07-16/11:03:34;zero;gemma3_1b_trained;12.424948700000186;100.0;
2025-07-16/11:06:21;zero;gemma3_1b_trained;11.5490420000001;100.0;
2025-07-16/12:03:31;zero;gemma2;56.82276600000023;91.18;
2025-07-16/12:07:29;zero;gemma2_trained;62.56038600000011;94.12;
2025-07-16/12:09:10;few;gemma2;63.13734709999972;92.16;
2025-07-16/12:10:38;def;gemma2;66.58113839999987;94.12;
2025-07-16/12:12:12;def-few;gemma2;72.74861520000013;95.1;
2025-07-16/12:13:30;zero;gemma3_1b;53.62556790000053;91.18;
2025-07-16/12:17:24;zero;gemma3_1b_trained;71.62441089999993;94.12;
2025-07-16/12:18:34;few;gemma3_1b;50.02856979999979;92.16;
2025-07-16/12:19:42;def;gemma3_1b;47.86012099999971;83.33;
2025-07-16/12:20:59;def-few;gemma3_1b;57.79773470000055;85.29;
2025-07-16/12:26:21;zero;gemma3n_e2b_it;280.3024007000004;89.22;
2025-07-16/12:35:39;zero;gemma3n_e2b_it_trained;331.8639088;95.1;
2025-07-16/12:41:07;few;gemma3n_e2b_it;283.9079127999994;85.29;
2025-07-16/12:45:46;def;gemma3n_e2b_it;251.68635019999965;87.25;
2025-07-16/12:50:35;def-few;gemma3n_e2b_it;261.67844800000057;89.22;
2025-07-16/19:31:44;zero;gemma2;57.74389229999724;91.18;
2025-07-16/19:35:53;zero;gemma2_trained;61.944441499996174;93.14;
2025-07-16/19:37:41;few;gemma2;62.4315282000025;92.16;
2025-07-16/19:39:09;def;gemma2;66.23459730000468;94.12;
2025-07-16/19:40:43;def-few;gemma2;72.41361329999927;95.1;
2025-07-16/19:42:02;zero;gemma3_1b;54.59707740000158;90.2;
2025-07-16/19:45:58;zero;gemma3_1b_trained;71.068385700004;97.06;
2025-07-16/19:47:09;few;gemma3_1b;50.69922039999801;91.18;
2025-07-16/19:48:19;def;gemma3_1b;49.246298999998544;83.33;
2025-07-16/19:49:41;def-few;gemma3_1b;61.84019170000101;86.27;
2025-07-16/19:52:15;zero;gemma3n_e2b_it;109.23119800000131;90.2;
2025-07-16/19:58:49;zero;gemma3n_e2b_it_trained;153.22025040000153;95.1;
2025-07-16/20:01:28;few;gemma3n_e2b_it;108.98529280000366;87.25;
2025-07-16/20:03:50;def;gemma3n_e2b_it;110.76059969999916;86.27;
2025-07-16/20:06:22;def-few;gemma3n_e2b_it;107.79706449999505;90.2;
2025-07-17/17:17:29;zero;gemma2;57.56257089999963;91.18;
2025-07-17/17:18:57;zero;gemma2_trained;59.80880539999998;93.14;
2025-07-17/17:20:26;few;gemma2;64.1950152999998;92.16;
2025-07-17/17:22:13;def;gemma2;67.77963809999983;94.12;
2025-07-17/17:23:55;def-few;gemma2;78.2620549000003;95.1;
2025-07-17/17:25:17;zero;gemma3_1b;55.758409300000494;90.2;
2025-07-17/17:26:52;zero;gemma3_1b_trained;74.06584449999991;96.08;
2025-07-17/17:28:03;few;gemma3_1b;50.7682691;92.16;
2025-07-17/17:29:11;def;gemma3_1b;48.47767549999935;83.33;
2025-07-17/17:30:33;def-few;gemma3_1b;61.62713940000049;88.24;
2025-07-17/17:33:33;zero;gemma3n_e2b_it;135.3699645000006;91.18;
2025-07-17/17:36:57;zero;gemma3n_e2b_it_trained;155.02218670000002;95.1;
2025-07-17/17:39:31;few;gemma3n_e2b_it;108.98677849999967;86.27;
2025-07-17/17:42:08;def;gemma3n_e2b_it;111.80024260000027;87.25;
